scene_id,rule_name,trigger_event,trigger_room,actions_ok,actions_fail,attack_active,attack_name,latency_ms
108294798_176710428,"motion_lights_on_kitchen",motion_detected,kitchen,1,0,0,"None",0.68
108294798_176710428,"leave_lights_off_kitchen",agent_left_room,kitchen,1,0,0,"None",0.15
108294798_176710428,"motion_lights_on_living room",motion_detected,living room,1,0,0,"None",0.18
108294798_176710428,"leave_lights_off_living room",agent_left_room,living room,1,0,0,"None",5.82
108294798_176710428,"motion_lights_on_kitchen",motion_detected,kitchen,1,0,0,"None",0.36
108294798_176710428,"leave_lights_off_kitchen",agent_left_room,kitchen,1,0,0,"None",0.19
108294798_176710428,"motion_lights_on_living room",motion_detected,living room,1,0,0,"None",0.23
108294798_176710428,"leave_lights_off_living room",agent_left_room,living room,1,0,0,"None",0.22
108294798_176710428,"motion_lights_on_living room",motion_detected,living room,1,0,0,"None",0.43
108294798_176710428,"leave_lights_off_living room",agent_left_room,living room,1,0,0,"None",0.25
108294798_176710428,"motion_lights_on_kitchen",motion_detected,kitchen,1,0,0,"None",0.23
108294798_176710428,"leave_lights_off_kitchen",agent_left_room,kitchen,1,0,0,"None",0.60
108294798_176710428,"motion_lights_on_living room",motion_detected,living room,1,0,0,"None",0.24
108294798_176710428,"leave_lights_off_living room",agent_left_room,living room,1,0,0,"None",0.23
108294798_176710428,"motion_lights_on_kitchen",motion_detected,kitchen,1,0,0,"None",0.22
108294798_176710428,"leave_lights_off_kitchen",agent_left_room,kitchen,1,0,0,"None",0.84
108294798_176710428,"motion_lights_on_kitchen",motion_detected,kitchen,1,0,0,"None",0.39
108294798_176710428,"leave_lights_off_kitchen",agent_left_room,kitchen,1,0,0,"None",0.30
108294798_176710428,"motion_lights_on_kitchen",motion_detected,kitchen,1,0,0,"None",0.66
108294798_176710428,"leave_lights_off_kitchen",agent_left_room,kitchen,1,0,0,"None",1.54
