scene_id,rule_name,trigger_event,trigger_room,actions_ok,actions_fail,attack_active,attack_name,latency_ms
108294939_176710668,"motion_lights_on_dining room",motion_detected,dining room,0,0,0,"None",0.00
108294939_176710668,"leave_lights_off_dining room",agent_left_room,dining room,0,1,0,"None",0.09
108294939_176710668,"motion_lights_on_living room",motion_detected,living room,1,0,0,"None",1.85
108294939_176710668,"motion_lights_on_dining room",motion_detected,dining room,0,0,0,"None",0.00
108294939_176710668,"leave_lights_off_living room",agent_left_room,living room,1,0,0,"None",0.25
108294939_176710668,"leave_lights_off_dining room",agent_left_room,dining room,0,1,0,"None",0.08
108294939_176710668,"motion_lights_on_dining room",motion_detected,dining room,0,0,0,"None",0.00
108294939_176710668,"motion_lights_on_kitchen",motion_detected,kitchen,1,0,0,"None",0.34
108294939_176710668,"leave_lights_off_dining room",agent_left_room,dining room,0,1,0,"None",0.06
108294939_176710668,"motion_lights_on_dining room",motion_detected,dining room,0,0,0,"None",0.00
108294939_176710668,"leave_lights_off_kitchen",agent_left_room,kitchen,1,0,0,"None",0.25
108294939_176710668,"motion_lights_on_office",motion_detected,office,1,0,0,"None",0.15
108294939_176710668,"leave_lights_off_dining room",agent_left_room,dining room,0,1,0,"None",0.05
108294939_176710668,"motion_lights_on_bedroom",motion_detected,bedroom,1,0,0,"None",0.17
108294939_176710668,"leave_lights_off_office",agent_left_room,office,1,0,0,"None",0.11
108294939_176710668,"leave_lights_off_bedroom",agent_left_room,bedroom,1,0,0,"None",0.14
108294939_176710668,"motion_lights_on_bedroom",motion_detected,bedroom,1,0,0,"None",0.50
108294939_176710668,"motion_lights_on_office",motion_detected,office,1,0,0,"None",0.86
108294939_176710668,"leave_lights_off_bedroom",agent_left_room,bedroom,1,0,0,"None",0.49
108294939_176710668,"motion_lights_on_dining room",motion_detected,dining room,0,0,0,"None",0.00
108294939_176710668,"leave_lights_off_office",agent_left_room,office,1,0,0,"None",0.20
108294939_176710668,"leave_lights_off_dining room",agent_left_room,dining room,0,1,0,"None",0.08
108294939_176710668,"motion_lights_on_dining room",motion_detected,dining room,0,0,0,"None",0.00
108294939_176710668,"motion_lights_on_office",motion_detected,office,1,0,0,"None",0.82
108294939_176710668,"leave_lights_off_dining room",agent_left_room,dining room,0,1,0,"None",0.07
108294939_176710668,"motion_lights_on_dining room",motion_detected,dining room,0,0,0,"None",0.00
108294939_176710668,"leave_lights_off_office",agent_left_room,office,1,0,0,"None",0.32
108294939_176710668,"motion_lights_on_kitchen",motion_detected,kitchen,1,0,0,"None",0.19
108294939_176710668,"leave_lights_off_dining room",agent_left_room,dining room,0,1,0,"None",0.08
108294939_176710668,"motion_lights_on_dining room",motion_detected,dining room,0,0,0,"None",0.00
108294939_176710668,"leave_lights_off_kitchen",agent_left_room,kitchen,1,0,0,"None",0.22
108294939_176710668,"motion_lights_on_office",motion_detected,office,1,0,0,"None",0.20
108294939_176710668,"leave_lights_off_dining room",agent_left_room,dining room,0,1,0,"None",0.06
108294939_176710668,"motion_lights_on_bedroom",motion_detected,bedroom,1,0,0,"None",0.31
108294939_176710668,"leave_lights_off_office",agent_left_room,office,1,0,0,"None",0.17
108294939_176710668,"leave_lights_off_bedroom",agent_left_room,bedroom,1,0,0,"None",0.14
108294939_176710668,"motion_lights_on_bedroom",motion_detected,bedroom,1,0,0,"None",0.32
108294939_176710668,"motion_lights_on_office",motion_detected,office,1,0,0,"None",0.18
108294939_176710668,"motion_lights_on_dining room",motion_detected,dining room,0,0,0,"None",0.00
108294939_176710668,"leave_lights_off_office",agent_left_room,office,1,0,0,"None",0.17
108294939_176710668,"motion_lights_on_living room",motion_detected,living room,1,0,0,"None",0.21
108294939_176710668,"leave_lights_off_dining room",agent_left_room,dining room,0,1,0,"None",0.06
