scene_id,rule_name,trigger_event,trigger_room,actions_ok,actions_fail,attack_active,attack_name,latency_ms
103997799_171031002,"motion_lights_on_kitchen",motion_detected,kitchen,1,0,0,"None",0.21
103997799_171031002,"motion_lights_on_hallway.002",motion_detected,hallway.002,1,0,0,"None",0.18
103997799_171031002,"leave_lights_off_kitchen",agent_left_room,kitchen,1,0,0,"None",0.12
103997799_171031002,"leave_lights_off_hallway.002",agent_left_room,hallway.002,1,0,0,"None",0.16
103997799_171031002,"motion_lights_on_hallway",motion_detected,hallway,1,0,0,"None",0.20
103997799_171031002,"leave_lights_off_hallway",agent_left_room,hallway,1,0,0,"None",0.15
103997799_171031002,"motion_lights_on_hallway.002",motion_detected,hallway.002,1,0,0,"None",0.17
103997799_171031002,"motion_lights_on_kitchen.003",motion_detected,kitchen.003,1,0,0,"None",0.27
103997799_171031002,"motion_lights_on_hallway.003",motion_detected,hallway.003,1,0,0,"None",0.17
103997799_171031002,"leave_lights_off_kitchen.003",agent_left_room,kitchen.003,1,0,0,"None",0.13
103997799_171031002,"motion_lights_on_kitchen.003",motion_detected,kitchen.003,1,0,0,"None",0.20
103997799_171031002,"leave_lights_off_hallway.003",agent_left_room,hallway.003,1,0,0,"None",0.17
103997799_171031002,"leave_lights_off_kitchen.003",agent_left_room,kitchen.003,1,0,0,"None",0.17
103997799_171031002,"motion_lights_on_kitchen.003",motion_detected,kitchen.003,1,0,0,"None",0.23
103997799_171031002,"leave_lights_off_kitchen.003",agent_left_room,kitchen.003,1,0,0,"None",0.19
103997799_171031002,"motion_lights_on_hallway.002",motion_detected,hallway.002,0,0,0,"None",0.00
103997799_171031002,"leave_lights_off_hallway.002",agent_left_room,hallway.002,1,0,0,"None",0.15
103997799_171031002,"motion_lights_on_kitchen.002",motion_detected,kitchen.002,1,0,0,"None",0.20
103997799_171031002,"motion_lights_on_hallway.004",motion_detected,hallway.004,1,0,0,"None",3.23
103997799_171031002,"leave_lights_off_kitchen.002",agent_left_room,kitchen.002,1,0,0,"None",0.15
