scene_id,attack_name,category,success,packets_sent,packets_captured,duration_ms
106878915_174887025,"Unauthorized Device Enumeration",matter_eavesdropping,0,0,0,2.3
106878915_174887025,"Matter State Injection",matter_message_injection,0,0,0,3.2
106878915_174887025,"Matter Command Hijack",matter_command_hijack,0,0,0,2.3
106878915_174887025,"TCP Connection Hijack",tcp_connection_hijack,1,0,0,516.1
106878915_174887025,"TCP Man-in-the-Middle Proxy",tcp_man_in_the_middle,1,0,4,1125.0
106878915_174887025,"TCP Connection Flood DoS",network_denial_of_service,1,50,0,524.9
106878915_174887025,"Zigbee Frame Replay",protocol_replay,1,0,0,0.0
106878915_174887025,"Zigbee Network Key Extraction",protocol_downgrade,1,0,0,0.1
106878915_174887025,"Protocol Downgrade (No Encryption)",protocol_downgrade,0,0,0,2.1
106878915_174887025,"ARP Cache Poisoning (Simulated)",arp_spoofing,1,0,0,0.0
106878915_174887025,"DNS Poisoning (Simulated)",dns_poisoning,1,0,0,0.0
106878915_174887025,"WiFi Deauthentication Attack (Simulated)",deauthentication_attack,1,30,0,0.0
106878915_174887025,"Evil Twin Access Point (Simulated)",evil_twin_ap,1,0,0,0.0
106878915_174887025,"Traffic Fingerprinting",traffic_analysis,1,0,0,1833.4
