scene_id,attack_name,category,severity,success,cve_reference,duration_ms
107734176_176000019,"Buffer Overflow (Command Buffer)",buffer_overflow,high,1,"CVE-2020-12695 (UPnP buffer overflow in IoT devices)",17.7
107734176_176000019,"Buffer Overflow (SET_ID)",buffer_overflow,medium,1,"CVE-2021-28372 (ThroughTek IoT device overflow)",5.0
107734176_176000019,"Authentication Bypass (No Token)",authentication_bypass,critical,1,"CVE-2019-19356 (Netis router auth bypass)",6.9
107734176_176000019,"Authentication Bypass (Weak Token Validation)",authentication_bypass,low,0,"CVE-2020-25078 (D-Link DCS camera hardcoded credentials)",5.6
107734176_176000019,"Information Disclosure (Debug Dump)",information_disclosure,low,0,"CVE-2021-36260 (Hikvision debug endpoint info disclosure)",2.5
107734176_176000019,"Information Disclosure (Token Leakage)",information_disclosure,informational,0,"",5.7
107734176_176000019,"Command Injection (Newline)",command_injection,low,0,"CVE-2019-17621 (D-Link command injection)",419.2
107734176_176000019,"Command Injection (Null Byte)",command_injection,medium,1,"",3003.7
107734176_176000019,"Firmware Update Buffer Overflow",firmware_update_attack,critical,1,"CVE-2022-25845 (Firmware update vulnerability in smart devices)",3.5
107734176_176000019,"Unsigned Firmware Update",firmware_update_attack,low,0,"CVE-2020-10882 (TP-Link unsigned firmware update)",2.7
107734176_176000019,"Denial of Service (Command Flood)",denial_of_service,medium,1,"",562.6
107734176_176000019,"Denial of Service (Large Payload)",denial_of_service,medium,1,"",3.9
107734176_176000019,"State Manipulation (Sensor Disarm)",state_manipulation,low,0,"CVE-2019-9483 (SimpliSafe alarm disarm vulnerability)",211.5
107734176_176000019,"State Manipulation (Calibration Abuse)",state_manipulation,low,0,"",5.8
107734176_176000019,"Replay Attack",replay_attack,low,0,"CVE-2018-11714 (Zigbee replay vulnerability)",206.1
107734176_176000019,"Protocol Fuzzing (Random)",protocol_fuzzing,high,1,"",24032.7
107734176_176000019,"Format String Attack",protocol_fuzzing,high,1,"CVE-2019-14889 (libssh format string vulnerability)",8.8
107734176_176000019,"Out-of-Bounds Write (Schedule Array)",buffer_overflow,high,1,"CVE-2021-33104 (IoT OOB write vulnerability)",10.3
