scene_id,rule_name,trigger_event,trigger_room,actions_ok,actions_fail,attack_active,attack_name,latency_ms
102343992,"bedroom_004_motion",motion_detected,bedroom.004,1,0,0,"None",0.26
102343992,"hallway_003_motion",motion_detected,hallway.003,1,0,0,"None",0.17
102343992,"bedroom_light_off",agent_left_room,bedroom.004,1,0,0,"None",0.21
102343992,"hallway_light_on",agent_entered_room,hallway.003,1,0,0,"None",0.17
102343992,"bedroom_004_motion",motion_detected,bedroom.004,1,0,0,"None",0.28
102343992,"dining_motion_light",motion_detected,dining room,0,0,0,"None",0.00
102343992,"bedroom_light_off",agent_left_room,bedroom.004,1,0,0,"None",0.15
102344193,"hallway_motion_light",motion_detected,hallway,1,0,0,"None",0.38
102344193,"livingroom_motion_light",motion_detected,living room,1,0,0,"None",0.15
102344193,"kitchen_motion_lock",agent_entered_room,kitchen,0,0,0,"None",0.00
102344193,"livingroom_motion_light",motion_detected,living room,0,0,0,"None",0.00
102344439,"garage_motion_lock",motion_detected,garage,0,0,0,"None",0.00
102344439,"lounge_motion_light",motion_detected,lounge,0,0,0,"None",0.00
102344439,"lounge_motion_light",motion_detected,lounge,0,0,0,"None",0.00
102344439,"hallway_motion_light",motion_detected,hallway,1,0,0,"None",0.21
102816009,"kitchen_motion_light",motion_detected,kitchen,1,0,0,"None",0.74
102816009,"hallway_motion_light",motion_detected,hallway.001,1,0,0,"None",0.16
102816009,"kitchen_motion_light",motion_detected,kitchen,0,0,0,"None",0.00
102816615,"hallway_motion_light",motion_detected,hallway,1,0,0,"None",0.19
102816615,"bedroom_001_motion_light",motion_detected,bedroom.001,1,0,0,"None",0.15
102816615,"hallway_motion_light",motion_detected,hallway,0,0,0,"None",0.00
102816852,"agent_entered_bathroom",agent_entered_room,bathroom,0,2,0,"None",0.67
102816852,"toilet_motion_light",motion_detected,toilet,0,0,0,"None",0.00
102816852,"otherroom_motion_light",motion_detected,other room,0,0,0,"None",0.00
102816852,"office_motion_light",motion_detected,office,1,0,0,"None",0.27
102816852,"otherroom_motion_light",motion_detected,other room,0,0,0,"None",0.00
102816852,"toilet_motion_light",motion_detected,toilet,0,0,0,"None",0.00
102816852,"outdoor_motion_light",motion_detected,hallway,1,0,0,"None",0.23
102816852,"livingroom_motion_light",motion_detected,living room,1,0,0,"None",0.17
102816852,"outdoor_motion_light",motion_detected,hallway,0,0,0,"None",0.00
102816852,"toilet_motion_light",motion_detected,toilet,0,0,0,"None",0.00
102816852,"otherroom_motion_light",motion_detected,other room,0,0,0,"None",0.00
102816852,"toilet_motion_light",motion_detected,toilet,0,0,0,"None",0.00
103997445_171030492,"bar_motion_light",motion_detected,bar,0,0,0,"None",0.00
103997445_171030492,"bathroom_motion_light",motion_detected,bathroom,0,0,0,"None",0.00
103997445_171030492,"kitchen_motion_light",motion_detected,kitchen,1,0,0,"None",0.86
103997445_171030492,"bathroom_motion_light",motion_detected,bathroom,0,0,0,"None",0.00
103997445_171030492,"tv_motion_unlock",motion_detected,tv,0,0,0,"None",0.00
103997445_171030492,"hallway_motion_light",motion_detected,hallway,1,0,0,"None",0.17
103997445_171030492,"bedroom.002_motion_light",motion_detected,bedroom.002,1,0,0,"None",0.17
103997445_171030492,"other_room_motion_light",motion_detected,other room,0,0,0,"None",0.00
103997445_171030492,"bedroom.002_motion_light",motion_detected,bedroom.002,0,0,0,"None",0.00
103997445_171030492,"hallway_motion_light",motion_detected,hallway,0,0,0,"None",0.00
103997445_171030492,"tv_motion_unlock",motion_detected,tv,0,0,0,"None",0.00
103997445_171030492,"bathroom_motion_light",motion_detected,bathroom,0,0,0,"None",0.00
103997445_171030492,"kitchen_motion_light",motion_detected,kitchen,0,0,0,"None",0.00
103997445_171030492,"bathroom_motion_light",motion_detected,bathroom,0,0,0,"None",0.00
103997445_171030492,"tv_motion_unlock",motion_detected,tv,0,0,0,"None",0.00
103997445_171030492,"hallway_motion_light",motion_detected,hallway,0,0,0,"None",0.00
103997445_171030492,"bathroom.001_motion_light",motion_detected,bathroom.001,0,0,0,"None",0.00
103997445_171030492,"hallway_motion_light",motion_detected,hallway,0,0,0,"None",0.00
103997445_171030492,"tv_motion_unlock",motion_detected,tv,0,0,0,"None",0.00
103997445_171030492,"kitchen_motion_light",motion_detected,kitchen,0,0,0,"None",0.00
103997562_171030642,"dining_motion_light",motion_detected,dining room,0,0,0,"None",0.00
103997562_171030642,"outdoor_motion_alert",motion_detected,outdoor,0,0,0,"None",0.00
103997562_171030642,"hallway_motion_light",motion_detected,hallway,1,0,0,"None",0.54
